opcode,real_class,package,direction,fp_write,fp_read
0,XMLDocumentNode,com.ankamagames.framework.fileFormat.xml,?,,
0,XMLNodeAttribute,com.ankamagames.framework.fileFormat.xml,?,,
1,DisconnectionNotificationMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,C2S,,
1,StatisticsReportRequestMessage,com.ankamagames.baseImpl.common.clientAndServer.game.statistics,?,,
1,LoginMessage,com.ankamagames.framework.kernel.impl.admin.messages.clientToServer,C2S,bbbb,bbbb
2,ReconnectionTicketMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,S2C,,
2,LoginResultMessage,com.ankamagames.framework.kernel.impl.admin.messages.serverToClient,S2C,,
3,ReconnectionTicketRequestMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,C2S,,
3,LoginErrorMessage,com.ankamagames.framework.kernel.impl.admin.messages.serverToClient,S2C,,
4,ReconnectionTicketRequestResultMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,S2C,,
7,ClientVersionMessage,com.ankamagames.dofusarena.client.network.protocol.message.connection.clientToServer,C2S,bSbb,
8,InvalidClientVersionMessage,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message,S2C,,
10,PropertyListQueryMessage,com.ankamagames.framework.kernel.impl.admin.messages.clientToServer,C2S,,
11,PropertyItemMessage,com.ankamagames.framework.kernel.impl.admin.messages.serverToClient,S2C,bbIbbIbSILDFbb,bbIbbIbSILDFbb
12,PropertyQueryMessage,com.ankamagames.framework.kernel.impl.admin.messages.clientToServer,C2S,bb,bb
1024,ResultMessage,com.ankamagames.baseImpl.common.clientAndServer.protocol.sql,?,,
1024,ClientAuthenticationResultsMessage,com.ankamagames.dofusarena.client.network.protocol.message.connection.serverToClient,S2C,,b
1025,ClientAuthenticationMessage,com.ankamagames.dofusarena.client.network.protocol.message.connection.clientToServer,C2S,bbbb,
1026,WorldServerUnavailableMessage,com.ankamagames.dofusarena.client.network.protocol.message.connection.serverToClient,S2C,,
2048,CoachCreationRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,
2049,CoachCreationMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.clientToServer,C2S,bbbbb,
2050,CoachCreationResultMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,
2052,CoachInformationsMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,
2300,OpponentFoundMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,LIb
2301,OpponentSearchRequestMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.clientToServer,C2S,bI,
2302,OpponentSearchErrorMessage,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient,S2C,,
